time,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_elbow_x
0,0.248297,0.06043,0.247648,0.214482,-0.291766,-0.018634,0.291787
0.02,0.248475,0.060587,0.247959,0.214388,-0.291618,-0.019084,0.291669
0.04,0.249443,0.06092,0.247981,0.213821,-0.291534,-0.019481,0.292073
0.06,0.249943,0.060929,0.248305,0.213665,-0.291455,-0.019783,0.292174
0.08,0.250481,0.060946,0.248473,0.213347,-0.291409,-0.020189,0.292396
0.1,0.250491,0.060987,0.248674,0.213212,-0.291437,-0.020601,0.292402
0.12,0.250464,0.061221,0.248628,0.212986,-0.291444,-0.020967,0.292461
0.14,0.250206,0.061323,0.248545,0.21289,-0.29148,-0.021187,0.292421
0.16,0.25026,0.061398,0.248194,0.212581,-0.291573,-0.021319,0.292591
0.18,0.250184,0.061521,0.248064,0.212557,-0.291645,-0.021321,0.292577
0.2,0.250543,0.061363,0.247931,0.212279,-0.29176,-0.021327,0.292759
